"id","name","stockTake"
"2","Bitter melon",150
"4","Broccoli",32
"5","Broccolini",22
"6","Broccoli ice",26
"7","Bean sprouts",1
"8","Baby eggplant",1
"9","Baby eggplant strip",1
"10","Beetroots",1
"11","Beetroots Gourmet",1
"12","Brusell sprouts",1
"13","Cabbage",1
"14","Cab Chinese",1
"15","Cabbage bin",1
"16","Cabbage savoy",1
"17","Cab red",1
"18","Cauliflower",1
"19","Celeriac",1
"20","Celery",1
"21","Silver beet",1
"22","Spring onion",1
"23","Capsicum Red No1",1
"24","Capsicum red",1
"25","Caps yellow",1
"26","Caps green",1
"27","Caps green sale",1
"28","Caps Mix",1
"29","Carrot 1kg",1
"30","Carrot 1kg sale",1
"31","Carrot 5kg",1
"32","Carrot 20kg",1
"33","Carrot loose",1
"34","Carrot baby",1
"35","Chestnuts 1 kg",1
"36","Chestnuts box",1
"37","Chestnuts 10 kg",1
"38","Chilli green big",1
"39","Chilli red big",1
"40","Chilli hot small",1
"41","Yellow Chilli",1
"42","Chinese melon",1
"43","ChoKo",1
"44","Cucumber burp",1
"45","Cucumber burp sale",1
"46","Cucumber Leb",1
"47","Cucum Leb sale",1
"48","Cucumber green",1
"49","Cucumber pickle",1
"50","Corn sweet",1
"51","Corn baby",1
"52","Courgette",1
"53","Dill",1
"54","Egg fruit",1
"55","Thai eggplant",1
"56","Fennel leek",1
"57","Galanga",1
"58","Lotus Root",1
"59","Ginger old",1
"60","Ginger young",1
"61","Snake beans",1
"62","Stringless beans",1
"63","Luffa (India)",1
"64","Asian Luffa (Muop)",1
"65","Snakekoil",1
"66","Jackfruit",1
"67","Curry Leaf",1
"68","Leek",1
"69","Lemon good",1
"70","Lemon pre-pack",1
"71","Lemon 2nd",1
"72","Lime pkt",1
"73","Lime",1
"74","Lime Kaffir",1
"75","Festival green",1
"76","Festival red",1
"77","Coral red",1
"78","Coral green",1
"79","Radichio",1
"80","Chicory",1
"81","Cos lettuce",1
"82","Lettuce",1
"83","Butter Lectuce",1
"84","Lettuce trio",1
"85","Lettuce mix 250g",1
"86","Squash",1
"87","Baby cos",1
"88","Baby spinach",1
"89","Rocket",1
"90","Italian basil",1
"91","Thai basil",1
"92","Mushrooms",1
"93","Mushrooms punnet",1
"94","Mushrooms field",1
"95","Paprika green",1
"96","Paprika red",1
"97","Paprika yellow",1
"98","Parsley Italian",1
"99","Parsley",1
"100","Parsnips",1
"101","Rhubarb",1
