"shopProductID","shopID","productID","stockTake","description","productName","price"
2,1,25,150,"","Bitter melon",1.6
4,1,27,32,"","Broccoli",1
5,1,28,22,"","Broccolini",1
6,1,29,1,"","Broccoli ice",1
7,1,30,1,"","Bean sprouts",1
8,1,31,1,"","Baby eggplant",1
9,1,32,1,"","Baby eggplant strip",1
10,1,33,1,"","Beetroots",1
11,1,34,1,"","Beetroots Gourmet",1
12,1,35,1,"","Brusell sprouts",1
13,1,36,1,"","Cabbage",1
14,1,37,1,"","Cab Chinese",1
15,1,38,1,"","Cabbage bin",1
16,1,39,1,"","Cabbage savoy",1
17,1,40,1,"","Cab red",1
18,1,41,1,"","Cauliflower",1
19,1,42,1,"","Celeriac",1
20,1,43,1,"","Celery",1
21,1,44,1,"","Silver beet",1
22,1,45,1,"","Spring onion",1
23,1,46,1,"","Capsicum Red No1",1
24,1,47,1,"","Capsicum red",1
25,1,48,1,"","Caps yellow",1
26,1,49,1,"","Caps green",1
27,1,50,1,"","Caps green sale",1
28,1,51,1,"","Caps Mix",1
29,1,52,1,"","Carrot 1kg",1
30,1,53,1,"","Carrot 1kg sale",1
31,1,54,1,"","Carrot 5kg",1
32,1,55,1,"","Carrot 20kg",1
33,1,56,1,"","Carrot loose",1
34,1,57,1,"","Carrot baby",1
35,1,58,1,"","Chestnuts 1 kg",1
36,1,59,1,"","Chestnuts box",1
37,1,60,1,"","Chestnuts 10 kg",1
38,1,61,1,"","Chilli green big",1
39,1,62,1,"","Chilli red big",1
40,1,63,1,"","Chilli hot small",1
41,1,64,1,"","Yellow Chilli",1
42,1,65,1,"","Chinese melon",1
43,1,66,1,"","ChoKo",1
44,1,67,1,"","Cucumber burp",1
45,1,68,1,"","Cucumber burp sale",1
46,1,69,1,"","Cucumber Leb",1
47,1,70,1,"","Cucum Leb sale",1
48,1,71,1,"","Cucumber green",1
49,1,72,1,"","Cucumber pickle",1
50,1,73,1,"","Corn sweet",1
51,1,74,1,"","Corn baby",1
52,1,75,1,"","Courgette",1
53,1,76,1,"","Dill",1
54,1,77,1,"","Egg fruit",1
55,1,78,1,"","Thai eggplant",1
56,1,79,1,"","Fennel leek",1
57,1,80,1,"","Galanga",1
58,1,81,1,"","Lotus Root",1
59,1,82,1,"","Ginger old",1
60,1,83,1,"","Ginger young",1
61,1,84,1,"","Snake beans",1
62,1,85,1,"","Stringless beans",1
63,1,86,1,"","Luffa (India)",1
64,1,87,1,"","Asian Luffa (Muop)",1
65,1,88,1,"","Snakekoil",1
66,1,89,1,"","Jackfruit",1
67,1,90,1,"","Curry Leaf",1
68,1,91,1,"","Leek",1
69,1,92,1,"","Lemon good",1
70,1,93,1,"","Lemon pre-pack",1
71,1,94,1,"","Lemon 2nd",1
72,1,95,1,"","Lime pkt",1
73,1,96,1,"","Lime",1
74,1,97,1,"","Lime Kaffir",1
75,1,98,1,"","Festival green",1
76,1,99,1,"","Festival red",1
77,1,100,1,"","Coral red",1
78,1,101,1,"","Coral green",1
79,1,102,1,"","Radichio",1
80,1,103,1,"","Chicory",1
81,1,104,1,"","Cos lettuce",1
82,1,105,1,"","Lettuce",1
83,1,106,1,"","Butter Lectuce",1
84,1,107,1,"","Lettuce trio",1
85,1,108,1,"","Lettuce mix 250g",1
86,1,109,1,"","Squash",1
87,1,110,1,"","Baby cos",1
88,1,111,1,"","Baby spinach",1
89,1,112,1,"","Rocket",1
90,1,113,1,"","Italian basil",1
91,1,114,1,"","Thai basil",1
92,1,115,1,"","Mushrooms",1
93,1,116,1,"","Mushrooms punnet",1
94,1,117,1,"","Mushrooms field",1
95,1,118,1,"","Paprika green",1
96,1,119,1,"","Paprika red",1
97,1,120,1,"","Paprika yellow",1
98,1,121,1,"","Parsley Italian",1
99,1,122,1,"","Parsley",1
100,1,123,1,"","Parsnips",1
101,1,124,1,"","Rhubarb",1
102,1,125,1,"","Runner bean",1
103,1,126,1,"","Snow pea",1
104,1,127,1,"","Snow pea sprouts",1
105,1,128,1,"","Soup pack",1
106,1,129,1,"","Swedes",1
107,1,130,1,"","Red radish",1
108,1,131,1,"","Tomatoes pkt",1
109,1,132,1,"","Tomatoes  No1",1
110,1,133,1,"","Tomato No2",1
111,1,134,1,"","Tomato Roma",1
112,1,135,1,"","Tomato Roma PKT",1
113,1,136,1,"","Tomatoes Cherry",1
114,1,137,1,"","Tomatoes Grape",1
115,1,138,1,"","Tomato Cherry box",1
116,1,139,1,"","Tomatoes Truss",1
117,1,140,1,"","Turmeric bag",1
118,1,141,1,"","Turnip",1
119,1,142,1,"","White radish",1
120,1,143,1,"","Winters melon",1
121,1,144,1,"","Winter melon cut",1
122,1,145,1,"","Zucchini",1
123,1,146,1,"","Apricot No1",1
124,1,147,1,"","Apricot Med",1
125,1,148,1,"","Apricot in box",1
126,1,149,1,"","Avocado tray",1
127,1,150,1,"","Avocado box",1
128,1,151,1,"","Custard Apple",1
129,1,152,1,"","Fresh coconut",1
130,1,153,1,"","Dried coconut",1
131,1,154,1,"","Cusan",1
132,1,155,1,"","Cherry 5kg",1
133,1,156,1,"","Cherry 2kg",1
134,1,157,1,"","Cherry U.S 10 Lb",1
135,1,158,1,"","Cherry U.S 20 Lb",1
136,1,159,1,"","Durian",1
137,1,160,1,"","Longan",1
138,1,161,1,"","Lychees",1
139,1,162,1,"","Fuju persimmon",1
140,1,163,1,"","Fuju persimmon loose",1
141,1,164,1,"","Mango green",1
142,1,165,1,"","Mango Mexico",1
143,1,166,1,"","Mango Mexico Yellow",1
144,1,167,1,"","Mango Ken",1
145,1,168,1,"","Mango Ken 23",1
146,1,169,1,"","Mango Ken 25",1
148,1,171,1,"","Mango R2E2",1
149,1,172,1,"","Mango bulk",1
150,1,173,1,"","Mangosteen",1
151,1,174,1,"","Passion fruit",1
152,1,175,1,"","Pomelo",1
153,1,176,1,"","Rambutan",1
154,1,177,1,"","Honey dew",1
155,1,178,1,"","Honey dew gold",1
156,1,179,1,"","Mandarin Egypt",1
157,1,180,1,"","Mandarin Daisy",1
158,1,181,1,"","Mandarin Imperial",1
159,1,182,1,"","Imperial Pkt",1
160,1,183,1,"","Mandarin Clementine",1
161,1,184,1,"","Murcott mandarin",1
162,1,185,1,"","Tangelo",1
163,1,186,1,"","Mandarin Afourer",1
164,1,187,1,"","Mandarin Afourer Pkt",1
165,1,188,1,"","Mandarin Hickson",1
166,1,189,1,"","Mandarin Amigo",1
167,1,190,1,"","Mandarin Pre-pack",1
168,1,191,1,"","Nectarines sale",1
169,1,192,1,"","Nectarines white",1
170,1,193,1,"","Nectarines white pkt",1
171,1,194,1,"","Nectarines yellow",1
172,1,195,1,"","Nectarines yellow pkt",1
173,1,196,1,"","Peaches white NO1",1
174,1,197,1,"","Peaches white",1
175,1,198,1,"","Peaches yellow",1
176,1,199,1,"","Peaches Gold",1
177,1,200,1,"","Peaches Donut",1
178,1,201,1,"","Blueberry",1
179,1,202,1,"","Papaya",1
180,1,203,1,"","Paw paw green",1
181,1,204,1,"","Pineapples leaf",1
182,1,205,1,"","Pineapples sugar",1
183,1,206,1,"","Pomegranates",1
184,1,207,1,"","Prune",1
185,1,208,1,"","Rock melon",1
186,1,209,1,"","Strawberry 250g",1
187,1,210,1,"","Strawberry 500g",1
188,1,211,1,"","Fuji good",1
189,1,212,1,"","Fuji sale",1
190,1,213,1,"","Kanzi",1
