"inQuantity","outQuantity","total","name","wh_pd_ID","stockTake"
0,0,0,"Asian Luffa (Muop)","64",0
0,0,1212,"Baby cos","87",1212
0,0,0,"Baby eggplant","1124",0
0,0,0,"Baby eggplant strip","9",0
0,0,0,"Baby spinach","88",0
0,0,0,"Bean sprouts","7",0
0,0,0,"Beetroots","10",0
0,0,0,"Beetroots Gourmet","11",0
0,0,0,"Bitter melon","1120",0
0,0,0,"Broccoli","1122",0
0,0,0,"Broccoli ice","1125",0
0,0,0,"Broccolini","1121",0
0,0,0,"Brusell sprouts","12",0
0,0,0,"Butter Lectuce","83",0
0,0,0,"Cab Chinese","14",0
0,0,0,"Cab red","17",0
0,0,0,"Cabbage","13",0
0,0,0,"Cabbage bin","15",0
0,0,0,"Cabbage savoy","16",0
0,0,0,"Caps Mix","28",0
0,0,0,"Caps green","26",0
0,0,0,"Caps green sale","27",0
0,0,0,"Caps yellow","25",0
0,0,0,"Capsicum Red No1","23",0
0,0,0,"Capsicum red","24",0
0,0,0,"Carrot 1kg","29",0
0,0,0,"Carrot 1kg sale","30",0
0,0,0,"Carrot 20kg","32",0
0,0,0,"Carrot 5kg","31",0
0,0,0,"Carrot baby","34",0
0,0,0,"Carrot loose","33",0
0,0,0,"Cauliflower","18",0
0,0,0,"Celeriac","19",0
0,0,0,"Celery","20",0
0,0,0,"Chestnuts 1 kg","35",0
0,0,0,"Chestnuts 10 kg","37",0
0,0,0,"Chestnuts box","36",0
0,0,0,"Chicory","80",0
0,0,0,"Chilli green big","38",0
0,0,0,"Chilli hot small","40",0
0,0,0,"Chilli red big","39",0
0,0,0,"Chinese melon","42",0
0,0,0,"ChoKo","43",0
0,0,0,"Coral green","78",0
0,0,0,"Coral red","77",0
0,0,0,"Corn baby","51",0
0,0,0,"Corn sweet","50",0
0,0,0,"Cos lettuce","81",0
0,0,0,"Courgette","52",0
0,0,0,"Cucum Leb sale","47",0
0,0,0,"Cucumber Leb","46",0
0,0,0,"Cucumber burp","44",0
0,0,0,"Cucumber burp sale","45",0
0,0,0,"Cucumber green","48",0
0,0,0,"Cucumber pickle","49",0
0,0,0,"Curry Leaf","67",0
0,0,0,"Dill","53",0
0,0,0,"Egg fruit","54",0
0,0,0,"Fennel leek","56",0
0,0,0,"Festival green","75",0
0,0,0,"Festival red","76",0
0,0,0,"Galanga","57",0
0,0,0,"Ginger old","59",0
0,0,0,"Ginger young","60",0
0,0,0,"Italian basil","90",0
0,0,0,"Jackfruit","66",0
0,0,0,"Leek","68",0
0,0,0,"Lemon 2nd","71",0
0,0,0,"Lemon good","69",0
0,0,0,"Lemon pre-pack","70",0
0,0,0,"Lettuce","82",0
0,0,0,"Lettuce mix 250g","85",0
0,0,0,"Lettuce trio","84",0
0,0,0,"Lime","73",0
0,0,0,"Lime Kaffir","74",0
0,0,0,"Lime pkt","72",0
0,0,0,"Lotus Root","58",0
0,0,0,"Luffa (India)","63",0
0,0,0,"Mushrooms","92",0
0,0,0,"Mushrooms field","94",0
0,0,0,"Mushrooms punnet","93",0
0,0,0,"Paprika green","95",0
0,0,0,"Paprika red","96",0
0,0,0,"Paprika yellow","97",0
0,0,0,"Parsley","99",0
0,0,0,"Parsley Italian","98",0
0,0,0,"Parsnips","100",0
0,0,0,"Radichio","79",0
0,0,0,"Rhubarb","101",0
0,0,0,"Rocket","89",0
0,0,0,"Silver beet","21",0
0,0,0,"Snake beans","61",0
0,0,0,"Snakekoil","65",0
0,0,0,"Spring onion","22",0
0,0,0,"Squash","86",0
0,0,0,"Stringless beans","62",0
0,0,0,"Thai basil","91",0
0,0,0,"Thai eggplant","55",0
0,0,0,"Yellow Chilli","41",0
