"productName","inQuantity","outQuantity","total","wh_pd_ID","stockTake"
"Amber jewel No1",0,0,198,"232",198
"Amber Jewel pkt",0,0,198,"233",198
"Apricot in box",0,0,200,"125",200
"Apricot Med",0,0,200,"124",200
"Apricot No1",0,0,200,"123",200
"Asian Luffa (Muop)",0,0,200,"64",200
"Avocado box",0,0,200,"127",200
"Avocado tray",0,0,200,"126",200
"Baby cos",0,0,200,"87",200
"Baby eggplant",0,0,200,"8",200
"Baby eggplant strip",0,0,200,"9",200
"Baby spinach",0,0,200,"88",200
"Baby spinach in bag",0,0,200,"366",200
"Bac ha kg",0,0,200,"358",200
"Banana",0,0,200,"255",200
"Banana carnarvon",0,0,200,"257",200
"Banana Green",0,0,200,"256",200
"Banana l/finger",0,0,200,"259",200
"Banana Monkey",0,0,200,"260",200
"Banana Pack",0,0,200,"258",200
"Banana  Sticky",0,0,200,"261",200
"Bean sprouts",0,0,200,"7",200
"Beetroots",0,0,200,"10",200
"Beetroots Gourmet",0,0,200,"11",200
"Blueberry",0,0,200,"178",200
"Bong He",0,0,200,"370",200
"Broccoli ice",0,0,200,"6",200
"Broccolini",0,0,202,"5",202
"Brown onion 10kg",0,0,200,"268",200
"Brown onion 20kg",0,0,200,"269",200
"Brown onion 2kg",0,0,200,"270",200
"Brown onion loose",0,0,200,"271",200
"Brusell sprouts",0,0,200,"12",200
"Butter Lectuce",0,0,200,"83",200
"Cab Chinese",0,0,200,"14",200
"Cab red",0,0,200,"17",200
"Cabbage",0,0,200,"13",200
"Cabbage bin",0,0,200,"15",200
"Cabbage savoy",0,0,200,"16",200
"Caps green",0,0,200,"26",200
"Caps green sale",0,0,200,"27",200
"Caps Mix",0,0,200,"28",200
"Caps yellow",0,0,200,"25",200
"Capsicum red",0,0,200,"24",200
"Capsicum Red No1",0,0,200,"23",200
"Carrot 1kg",0,0,200,"29",200
"Carrot 1kg sale",0,0,200,"30",200
"Carrot 20kg",0,0,200,"32",200
"Carrot 5kg",0,0,200,"31",200
"Carrot baby",0,0,200,"34",200
"Carrot loose",0,0,200,"33",200
"Cauliflower",0,0,200,"18",200
"Celeriac",0,0,200,"19",200
"Celery",0,0,200,"20",200
"Cherry 2kg",0,0,200,"133",200
"Cherry 5kg",0,0,200,"132",200
"Cherry U.S 20 Lb",0,0,200,"135",200
"Cherry U.S 10 Lb",0,0,200,"134",200
"Chestnuts 1 kg",0,0,200,"35",200
"Chestnuts 10 kg",0,0,200,"37",200
"Chestnuts box",0,0,200,"36",200
"Chicory",0,0,200,"80",200
"Chilli green big",0,0,200,"38",200
"Chilli hot small",0,0,200,"40",200
"Chilli red big",0,0,200,"39",200
"Chinese melon",0,0,200,"42",200
"Chive (He )kg",0,0,200,"354",200
"ChoKo",0,0,200,"43",200
"Choysum big",0,0,200,"323",200
"Choysum small",0,0,200,"324",200
"Coral green",0,0,200,"78",200
"Coral red",0,0,200,"77",200
"Coriander",0,0,200,"329",200
"Corn baby",0,0,200,"51",200
"Corn sweet",0,0,200,"50",200
"Cos lettuce",0,0,200,"81",200
"Courgette",0,0,200,"52",200
"Cucum Leb sale",0,0,200,"47",200
"Cucumber burp",0,0,200,"44",200
"Cucumber burp sale",0,0,200,"45",200
"Cucumber green",0,0,200,"48",200
"Cucumber Leb",0,0,200,"46",200
"Cucumber pickle",0,0,200,"49",200
"Curry Leaf",0,0,200,"67",200
