"productName","inQuantity","outQuantity","total","wh_pd_ID","stockTake"
"Amber jewel No1",25,0,225,"604",200
"Amber Jewel pkt",0,0,200,"605",200
"Apricot in box",0,0,200,"497",200
"Apricot Med",0,0,200,"496",200
"Apricot No1",0,0,200,"495",200
"Asian Luffa (Muop)",0,0,200,"436",200
"Avocado box",0,0,200,"499",200
"Avocado tray",0,0,200,"498",200
"Baby cos",0,0,200,"459",200
"Baby eggplant",0,0,200,"380",200
"Baby eggplant strip",0,0,200,"381",200
"Baby spinach",0,0,200,"460",200
"Baby spinach in bag",0,0,200,"738",200
"Bac ha kg",0,0,200,"730",200
"Banana",0,0,200,"627",200
"Banana carnarvon",0,0,200,"629",200
"Banana Green",0,0,200,"628",200
"Banana l/finger",0,0,200,"631",200
"Banana Monkey",0,0,200,"632",200
"Banana Pack",0,0,200,"630",200
"Banana  Sticky",0,0,200,"633",200
"Bean sprouts",0,0,200,"379",200
"Beetroots",0,0,200,"382",200
"Beetroots Gourmet",0,0,200,"383",200
"Bitter melon",0,0,200,"374",200
"Blueberry",0,0,200,"550",200
"Bong He",0,0,200,"742",200
"Broccoli",0,0,198,"376",198
"Broccoli ice",0,0,200,"378",200
"Broccolini",0,0,200,"377",200
"Brown onion 10kg",0,0,200,"640",200
"Brown onion 20kg",0,0,200,"641",200
"Brown onion 2kg",0,0,200,"642",200
"Brown onion loose",0,0,200,"643",200
"Brusell sprouts",0,0,200,"384",200
"Butter Lectuce",0,0,200,"455",200
"Cab Chinese",0,0,200,"386",200
"Cab red",0,0,200,"389",200
"Cabbage",0,0,200,"385",200
"Cabbage bin",0,0,200,"387",200
"Cabbage savoy",0,0,200,"388",200
"Caps green",0,0,200,"398",200
"Caps green sale",0,0,200,"399",200
"Caps Mix",0,0,200,"400",200
"Caps yellow",0,0,200,"397",200
"Capsicum red",0,0,200,"396",200
"Capsicum Red No1",0,0,200,"395",200
"Carrot 1kg",0,0,200,"401",200
"Carrot 1kg sale",0,0,200,"402",200
"Carrot 20kg",0,0,200,"404",200
"Carrot 5kg",0,0,200,"403",200
"Carrot baby",0,0,200,"406",200
"Carrot loose",0,0,200,"405",200
"Cauliflower",0,0,200,"390",200
"Celeriac",0,0,200,"391",200
"Celery",0,0,200,"392",200
"Cherry 2kg",0,0,200,"505",200
"Cherry 5kg",0,0,200,"504",200
"Cherry U.S 20 Lb",0,0,200,"507",200
"Cherry U.S 10 Lb",0,0,200,"506",200
"Chestnuts 1 kg",0,0,200,"407",200
"Chestnuts 10 kg",0,0,200,"409",200
"Chestnuts box",0,0,200,"408",200
"Chicory",0,0,200,"452",200
"Chilli green big",0,0,200,"410",200
"Chilli hot small",0,0,200,"412",200
"Chilli red big",0,0,200,"411",200
"Chinese melon",0,0,200,"414",200
"Chive (He )kg",0,0,200,"726",200
"ChoKo",0,0,200,"415",200
"Choysum big",0,0,200,"695",200
"Choysum small",0,0,200,"696",200
"Coral green",0,0,200,"450",200
"Coral red",0,0,200,"449",200
"Coriander",0,0,200,"701",200
"Corn baby",0,0,200,"423",200
"Corn sweet",0,0,200,"422",200
"Cos lettuce",0,0,200,"453",200
"Courgette",0,0,200,"424",200
"Cucum Leb sale",0,0,200,"419",200
"Cucumber burp",0,0,200,"416",200
"Cucumber burp sale",0,0,200,"417",200
"Cucumber green",0,0,200,"420",200
"Cucumber Leb",0,0,200,"418",200
"Cucumber pickle",0,0,200,"421",200
"Curry Leaf",0,0,200,"439",200
"Cusan",0,0,200,"503",200
"Custard Apple",0,0,200,"500",200
"Dap ca",0,0,200,"710",200
"Dates 250g",0,0,200,"739",200
"Dates 5kg",0,0,200,"740",200
"Dill",0,0,200,"425",200
"Dot Dau",0,0,200,"741",200
"Dot lang Kg",0,0,200,"733",200
"Dragon Fruit",0,0,200,"721",200
"Dried coconut",0,0,200,"502",200
"Durian",0,0,200,"508",200
"Early Gold Apple",0,0,200,"571",200
"Egg fruit",0,0,200,"426",200
"Eggs 600g",0,0,200,"681",200
"Eggs 700g",0,0,200,"682",200
"Eggs 850g",0,0,200,"683",200
"Eggs Loose",0,0,200,"689",200
"Eggs WR 600g",0,0,200,"684",200
"Eggs WR 700g",0,0,200,"685",200
"Eggs GE 500g",0,0,200,"686",200
"Eggs GE 600g",0,0,200,"687",200
"Eggs GE 700g",0,0,200,"688",200
"English spinach",0,0,200,"694",200
"Enoki 200g",0,0,200,"715",200
"Enoki 330g",0,0,200,"716",200
"Fennel leek",0,0,200,"428",200
"Festival green",0,0,200,"447",200
"Festival red",0,0,200,"448",200
"Firm gold apple",0,0,200,"574",200
"Free range 600g",0,0,200,"690",200
"Free range 700g",0,0,200,"691",200
"Free range 800g",0,0,200,"692",200
"Fresh coconut",0,0,200,"501",200
"Fuji good",0,0,200,"560",200
"Fuji sale",0,0,200,"561",200
"Fuju persimmon",0,0,200,"511",200
"Fuju persimmon loose",0,0,200,"512",200
"Gala 1.5 kg",0,0,200,"734",200
"Gala 6 pkt",0,0,200,"566",200
"Gala good",0,0,200,"563",200
"Gala lunchbox 1kg",0,0,200,"567",200
"Gala Sale",0,0,200,"564",200
"Gala sale bin",0,0,200,"565",200
"Galanga",0,0,200,"429",200
"Garlic 500g",0,0,200,"634",200
"Garlic Chives",0,0,200,"637",200
"Garlic local",0,0,200,"636",200
"Garlic peel 500g",0,0,200,"635",200
"Garlic Shoot",0,0,200,"724",200
"Ginger old",0,0,200,"431",200
"Ginger young",0,0,200,"432",200
"Golden delicious",0,0,200,"568",200
"Granny Smith",0,0,200,"569",200
"Granny Smith pkt",0,0,200,"570",200
"Grape Black",0,0,200,"619",200
"Grape red globe",0,0,200,"621",200
"Grape red seedless",0,0,200,"620",200
"Grape white seedless",0,0,200,"622",200
"Grapefruit Pomelo",0,0,200,"626",200
"Guava",0,0,200,"618",200
"Hanh huong Kg",0,0,200,"729",200
"Hi Early",0,0,200,"572",200
"Hi Early pkt",0,0,200,"573",200
"Honey dew",0,0,200,"526",200
"Honey dew gold",0,0,200,"527",200
"Imperial Pkt",0,0,200,"531",200
"Italian basil",0,0,200,"462",200
"Jackfruit",0,0,200,"438",200
"Jazz Apple",0,0,200,"580",200
"Kai choy",0,0,200,"698",200
"Kailan",0,0,200,"697",200
"Kale",0,0,200,"693",200
"Kanzi",0,0,200,"562",200
"King Oyster",0,0,200,"717",200
"Kinh gioi Kg",0,0,200,"731",200
"Kiwi",0,0,200,"582",200
"Kiwi gold",0,0,200,"584",200
"Kiwi Tray",0,0,200,"583",200
"Kohlrabi",0,0,200,"706",200
"La Lot",0,0,200,"728",200
"Lady William",0,0,200,"575",200
"Leek",0,0,200,"440",200
